TicketID,CustomerID,ProductID,Category,Severity,Channel,State,CreatedAt,ResolvedAt,SLAMet,ShortDescription,ResolutionNote
TIC00001,CUST0024,C412,Audio/Video,Critical,Email,Closed,2023-10-17T00:31:39,2023-10-17T05:31:39,True,Audio distortion at higher volume levels.,Firmware updated; stability improved.
TIC00002,CUST0020,C333,Audio/Video,Medium,Chat,Resolved,2024-07-07T06:29:27,2024-07-07T15:29:27,True,Audio distortion at higher volume levels.,Escalated to engineering; patch shipped in v1.0.4.
TIC00003,CUST0103,C328,App Integration,High,Chat,Open,2024-05-13T14:57:22,,False,Mobile app cannot discover the device.,
TIC00004,CUST0056,C346,Warranty,Critical,Web,Resolved,2024-03-28T21:27:39,2024-03-29T02:27:39,True,Customer requests warranty verification for repair.,Provided step‑by‑step setup and reset instructions.
TIC00005,CUST0111,C398,Performance,Low,Chat,Resolved,2023-02-02T03:17:50,2023-02-02T23:17:50,True,UI lag observed while switching modes.,Provided billing credit and closed ticket.
TIC00006,CUST0165,C375,Audio/Video,Critical,Email,Open,2024-01-25T01:45:14,,False,Audio distortion at higher volume levels.,
TIC00007,CUST0144,C376,Performance,High,Chat,Resolved,2023-10-31T01:17:36,2023-10-31T11:17:36,True,UI lag observed while switching modes.,Escalated to engineering; patch shipped in v1.0.4.
TIC00008,CUST0091,C330,Connectivity,High,Chat,Resolved,2024-11-21T01:26:11,2024-11-22T00:26:11,True,Device fails to connect to Wi‑Fi network intermittently.,Replaced defective adapter under warranty.
TIC00009,CUST0120,C358,Audio/Video,Medium,Web,Resolved,2024-12-23T02:41:27,2024-12-27T03:41:27,False,Audio distortion at higher volume levels.,Replaced unit; RMA processed.
TIC00010,CUST0146,C396,Audio/Video,Low,Email,Closed,2023-08-01T18:02:19,2023-08-03T16:02:19,True,Audio distortion at higher volume levels.,Issue not reproducible; monitored for 7 days.
TIC00011,CUST0050,C364,Connectivity,High,Phone,Resolved,2024-09-08T02:46:40,2024-09-09T14:46:40,False,Device fails to connect to Wi‑Fi network intermittently.,Replaced unit; RMA processed.
TIC00012,CUST0057,C308,App Integration,Medium,Web,Open,2025-07-16T11:16:22,,False,Mobile app cannot discover the device.,
TIC00013,CUST0104,C412,Power,High,Chat,Open,2024-06-09T22:00:18,,False,Unit shuts down unexpectedly after 10 minutes.,
TIC00014,CUST0043,C339,App Integration,High,Phone,Open,2025-05-26T19:16:20,,False,Mobile app cannot discover the device.,
TIC00015,CUST0021,C325,Performance,Low,Chat,Resolved,2023-03-25T04:36:25,2023-03-28T19:36:25,False,UI lag observed while switching modes.,Replaced unit; RMA processed.
TIC00016,CUST0161,C354,Connectivity,Low,Email,Resolved,2025-09-09T20:23:10,2025-09-11T17:23:10,True,Device fails to connect to Wi‑Fi network intermittently.,Escalated to engineering; patch shipped in v1.0.4.
TIC00017,CUST0116,C403,Setup,Low,Web,Resolved,2025-02-23T03:21:47,2025-02-26T14:21:47,False,Initial pairing fails during onboarding.,Issue not reproducible; monitored for 7 days.
TIC00018,CUST0190,C417,Connectivity,Critical,Retail Kiosk,Resolved,2025-09-10T15:50:11,2025-09-10T17:50:11,True,Device fails to connect to Wi‑Fi network intermittently.,Provided billing credit and closed ticket.
TIC00019,CUST0136,C319,Performance,Medium,Phone,Closed,2025-08-26T12:40:22,2025-08-27T14:40:22,True,UI lag observed while switching modes.,Provided billing credit and closed ticket.
