ReviewID,CustomerID,ProductID,Rating,Sentiment,ReviewText,CreatedAt
REV000001,CUST0200,C365,4,positive,Exceeded expectations for the price.,2024-03-29T12:58:29
REV000002,CUST0099,C326,4,positive,Exceeded expectations for the price.,2023-05-11T23:54:08
REV000003,CUST0186,C404,4,positive,Setup was straightforward.,2023-12-30T09:05:27
REV000004,CUST0090,C335,3,neutral,Meets basic requirements.,2023-04-07T12:41:30
REV000005,CUST0132,C412,5,positive,Exceeded expectations for the price.,2025-07-19T18:58:23
REV000006,CUST0063,C418,3,neutral,Works as advertised.,2023-03-06T00:53:24
REV000007,CUST0197,C350,2,negative,Not worth the cost.,2023-09-29T09:17:20
REV000008,CUST0107,C332,5,positive,Great build quality.,2023-05-11T11:51:17
REV000009,CUST0089,C399,5,positive,Battery life is impressive.,2025-07-08T10:14:58
REV000010,CUST0048,C305,5,positive,Exceeded expectations for the price.,2024-05-08T04:26:50
REV000011,CUST0048,C305,5,positive,Battery life is impressive.,2024-09-24T09:58:19
REV000012,CUST0044,C415,1,negative,Battery drains too quickly.,2023-08-19T00:15:25
REV000013,CUST0050,C350,4,positive,Customer support was helpful.,2023-09-17T15:15:27
REV000014,CUST0142,C331,2,negative,Audio cracks at high volume.,2023-08-07T01:24:17
REV000015,CUST0058,C386,2,negative,Battery drains too quickly.,2024-05-29T06:49:48
REV000016,CUST0028,C347,4,positive,Exceeded expectations for the price.,2023-01-05T10:09:23
REV000017,CUST0058,C307,4,positive,Battery life is impressive.,2023-02-28T14:38:03
REV000018,CUST0149,C389,3,neutral,Decent for casual use.,2023-04-18T05:55:21
REV000019,CUST0112,C311,4,positive,Customer support was helpful.,2023-04-08T07:26:53
REV000020,CUST0164,C380,2,negative,Not worth the cost.,2023-03-20T04:14:05
REV000021,CUST0103,C360,5,positive,Battery life is impressive.,2023-05-24T12:25:00
REV000022,CUST0106,C341,4,positive,Great build quality.,2025-06-24T07:30:54
REV000023,CUST0150,C393,2,negative,App crashes during pairing.,2025-02-09T20:37:18
REV000024,CUST0120,C368,2,negative,Not worth the cost.,2024-04-15T15:24:38
REV000025,CUST0054,C327,5,positive,Customer support was helpful.,2024-12-25T03:27:08
REV000026,CUST0106,C403,5,positive,Customer support was helpful.,2025-07-06T03:01:17
REV000027,CUST0049,C399,2,negative,App crashes during pairing.,2025-09-20T20:03:52
REV000028,CUST0073,C413,4,positive,Crystal clear display.,2024-04-09T10:27:31
REV000029,CUST0034,C340,4,positive,Crystal clear display.,2025-04-05T22:08:26
REV000030,CUST0185,C300,4,positive,Customer support was helpful.,2023-06-29T22:45:37
REV000031,CUST0034,C361,1,negative,Audio cracks at high volume.,2023-12-27T12:49:29
REV000032,CUST0118,C327,3,neutral,Meets basic requirements.,2024-12-12T07:55:42
REV000033,CUST0113,C388,4,positive,Battery life is impressive.,2025-06-12T05:41:47
REV000034,CUST0184,C362,5,positive,Customer support was helpful.,2023-03-19T23:41:37
REV000035,CUST0184,C406,3,neutral,"Nothing exceptional, nothing terrible.",2025-08-31T15:07:47
REV000036,CUST0058,C321,4,positive,Great build quality.,2024-08-11T18:51:22
REV000037,CUST0094,C409,3,neutral,Works as advertised.,2023-12-21T17:23:40
REV000038,CUST0181,C350,4,positive,Great build quality.,2025-07-13T02:12:55
REV000039,CUST0057,C413,5,positive,Battery life is impressive.,2024-04-18T10:24:01
REV000040,CUST0049,C334,1,negative,App crashes during pairing.,2025-07-27T00:24:21
REV000041,CUST0146,C411,1,negative,Frequent disconnects ruin the experience.,2025-01-08T11:35:32
REV000042,CUST0158,C398,3,neutral,Meets basic requirements.,2024-04-10T04:36:28
REV000043,CUST0107,C310,3,neutral,Decent for casual use.,2025-04-27T06:09:02
REV000044,CUST0118,C402,2,negative,Audio cracks at high volume.,2024-09-03T20:34:05
REV000045,CUST0003,C309,5,positive,Crystal clear display.,2023-02-20T14:15:29
REV000046,CUST0191,C371,3,neutral,Works as advertised.,2024-02-25T23:58:29
REV000047,CUST0076,C321,2,negative,App crashes during pairing.,2024-09-24T22:37:55
REV000048,CUST0147,C314,4,positive,Setup was straightforward.,2023-07-07T12:25:06
REV000049,CUST0148,C300,2,negative,Not worth the cost.,2023-03-06T12:02:27
REV000050,CUST0124,C333,3,neutral,Average experience overall.,2024-08-28T07:56:39
REV000051,CUST0023,C307,3,neutral,Average experience overall.,2024-07-16T22:16:09
REV000052,CUST0211,C303,2,negative,Audio cracks at high volume.,2025-08-05T23:27:22
REV000053,CUST0121,C374,5,positive,Battery life is impressive.,2024-04-24T08:15:43
REV000054,CUST0027,C311,3,neutral,Meets basic requirements.,2025-07-31T07:13:17
REV000055,CUST0195,C347,2,negative,Battery drains too quickly.,2024-08-30T07:09:09
REV000056,CUST0079,C382,4,positive,Exceeded expectations for the price.,2023-09-30T09:23:52
REV000057,CUST0097,C335,2,negative,Battery drains too quickly.,2024-12-07T03:37:32
REV000058,CUST0099,C404,4,positive,Customer support was helpful.,2024-01-25T14:57:12
REV000059,CUST0053,C333,4,positive,Customer support was helpful.,2023-06-06T18:05:32
REV000060,CUST0050,C387,5,positive,Customer support was helpful.,2025-03-09T06:20:50
REV000061,CUST0130,C412,4,positive,Setup was straightforward.,2024-01-29T13:14:47
REV000062,CUST0133,C341,4,positive,Exceeded expectations for the price.,2025-03-09T21:34:42
REV000063,CUST0164,C404,4,positive,Battery life is impressive.,2024-02-18T18:02:11
REV000064,CUST0168,C393,5,positive,Great build quality.,2024-04-19T07:39:45
REV000065,CUST0129,C401,4,positive,Customer support was helpful.,2024-08-06T21:11:40
REV000066,CUST0084,C369,5,positive,Customer support was helpful.,2023-04-03T17:16:17
REV000067,CUST0143,C333,5,positive,Battery life is impressive.,2025-02-05T09:04:20
REV000068,CUST0055,C347,3,neutral,Works as advertised.,2023-03-30T12:21:03
REV000069,CUST0119,C382,5,positive,Customer support was helpful.,2023-07-04T22:39:42
REV000070,CUST0033,C306,4,positive,Battery life is impressive.,2024-04-28T08:24:58
REV000071,CUST0099,C370,4,positive,Setup was straightforward.,2025-08-01T01:24:38
REV000072,CUST0178,C345,4,positive,Exceeded expectations for the price.,2024-05-20T04:10:20
REV000073,CUST0199,C352,3,neutral,Works as advertised.,2024-02-26T16:36:55
